Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
"2014/01/01 01:00:00,003","9101,69121871747","1338,1979392613184","1820,2062435577277","793,4584583109925","12298,80114698793","3236,1090647930137","6121,146142504031","1102,5235048675","35812,13371899999"
"2014/01/01 01:59:59,997","8907,975781568297","1328,940064239456","1809,1808608178796","791,1416296649325","12297,10982335456","3246,493374994015","6091,018849878082","1098,7747714827783","35570,63515599999"
"2014/01/01 03:00:00","8738,46097281186","1317,990845612837","1804,524572999652","789,7919061733281","12285,295246664122","3217,7213882446617","6060,017515409538","1097,7167620840012","35311,51921"
"2014/01/01 04:00:00,003","8622,671258710925","1325,5451340994098","1807,2271256644672","797,1958770150926","12368,070072870578","3165,2035449387895","6017,610068816174","1105,8912478845668","35209,41433000001"
"2014/01/01 04:59:59,997","8615,48046815921","1348,5961873544384","1816,4560434587984","810,8683324812147","12639,0173590162","3134,1993297594954","6072,948097429778","1123,9273143408607","35561,493131999974"
"2014/01/01 06:00:00","8742,452984386593","1379,7401810011388","1831,8196293581225","832,4850112370444","13055,19139279004","3152,196164652032","6212,848712650767","1152,5730369242563","36359,30711300001"
"2014/01/01 07:00:00,003","8888,16582105485","1416,9039725820253","1839,6807828156225","856,1428262182602","13420,289659690465","3204,2801193094156","6379,119640192501","1188,6242511368575","37193,207073"
"2014/01/01 07:59:59,997","8816,913697640777","1424,105786785297","1854,8980530140125","871,8378483756272","13555,692953412225","3190,138392549124","6442,756426566087","1216,658773656828","37373,00193199998"
"2014/01/01 09:00:00","8825,772978993366","1405,354532787433","1848,275635505756","867,7879580398088","13328,329038504073","3204,409281477745","6385,508239754904","1214,657800936904","37080,09546599999"
"2014/01/01 10:00:00,003","8933,592559203265","1369,4557596959453","1821,5197092874512","849,238438013497","12978,980244890137","3248,8643469014623","6173,12017257082","1181,9786664374144","36556,749896999994"
"2014/01/01 10:59:59,997","8914,125455026038","1311,758953425007","1799,470872479209","817,8323452820752","12468,363674516884","3252,180417876513","6015,258935609926","1137,4122807843596","35716,402935000006"
"2014/01/01 12:00:00","8823,402128532302","1245,118276848027","1774,654575034906","790,9233994096563","11898,969818575852","3224,850070150271","5831,220330110511","1089,1321973384825","34678,27079600001"
"2014/01/01 13:00:00,003","8753,357267816215","1168,076924860383","1738,8082370923555","753,1529216424542","11264,466691803253","3149,929799137805","5629,150986177015","1037,3595924705103","33494,302421"
"2014/01/01 13:59:59,997","8637,548745376806","1095,972307591686","1697,596891631777","717,3563630028585","10641,280582361258","3072,617577694976","5407,3888928258975","987,5722785147302","32257,333638999993"
"2014/01/01 15:00:00","8564,845216183454","1034,7459653219892","1674,6363171118512","690,4102229531991","10125,714603108823","3001,427906069209","5256,914826235888","955,2065550155551","31303,901611999976"
"2014/01/01 16:00:00,003","8545,05183257757","1014,8066318076048","1659,6287264367147","676,7103539923551","9863,592938547283","2949,423744692556","5199,282640253336","934,9802116925533","30843,477079999975"
"2014/01/01 16:59:59,997","8662,527150423524","1027,3578633403044","1654,070465057761","680,1192944479441","9808,271552105096","2930,268190400972","5187,2620800365185","932,2829641878726","30882,159559999993"
